scenario,cell_index,cell_type,execution_count,section,included,output_count,source_first_line
linear_without_lens,0,markdown,,,True,0,# Setup 20m × 20m — 9-TX Patch × 9-RX Patch + Linear TX-User Trajectory (Without Lens)
linear_without_lens,1,code,1.0,,True,1,import os
linear_without_lens,2,markdown,,1.0,True,0,"## 1. Antenna pattern loader (farfield HFSS, rotation baked-in)"
linear_without_lens,3,code,2.0,1.0,True,0,class HFSSPattern(AntennaPattern):
linear_without_lens,4,markdown,,2.0,True,0,"## 2. Orientation utilities (world-frame Euler angle, Sionna convention)"
linear_without_lens,5,code,3.0,2.0,True,0,def R_of(o):
linear_without_lens,6,markdown,,3.0,True,0,"## 3. Room scene (20m x 20m x 3m), reused from `Setup_20mx20m_9x9.ipynb`"
linear_without_lens,7,code,4.0,3.0,True,0,"def generate_room_xml(room_x=20, room_y=20, room_z=3, xml_path=""room_20x20.xml""):"
linear_without_lens,8,markdown,,4.0,True,0,## 4. RX lens farfield — angle mapping & mirroring the positive side
linear_without_lens,9,code,5.0,4.0,True,0,"LENS_DIR = Path(""farfieldAntennaData"")"
linear_without_lens,10,markdown,,5.0,True,0,## 5. ⚠️ CONFIGURATION — EDIT HERE
linear_without_lens,11,code,6.0,5.0,True,1,FREQ_GHZ = 38
linear_without_lens,12,markdown,,5.0,True,0,### 5b. Full layout preview (9 TX x 9 RX) — top view & 3D perspective
linear_without_lens,13,code,7.0,5.0,True,2,"def plot_full_layout(tx_positions, sim_configs, room_x, room_y, room_z, figsize=(14, 6)):"
linear_without_lens,14,markdown,,5.0,True,0,### 5c. RX cluster — zoomed view
linear_without_lens,15,code,8.0,5.0,True,2,"def plot_rx_zoom(sim_configs, pad_ratio=0.3, figsize=(14, 6)):"
linear_without_lens,16,markdown,,6.0,True,0,"## 6. Scene builder — 9 TX (same pattern, simultaneous radiation) + 1 RX (lens differs per simulation)"
linear_without_lens,17,code,9.0,6.0,True,0,"def build_scene(tx_positions, tx_orientation_deg, tx_pattern_name,"
linear_without_lens,18,markdown,,7.0,True,0,"## 7. Beamform validation utilities (position, orientation, peak beam direction in world frame)"
linear_without_lens,19,code,10.0,7.0,True,0,def _p3(v):
linear_without_lens,20,markdown,,7.0,True,0,"### 7b. Antenna pattern profile (radiation pattern, `compute_gain`/`show`)"
linear_without_lens,21,code,11.0,7.0,True,0,"def get_builtin_pattern(name, polarization=""V"", polarization_model=""tr38901_2""):"
linear_without_lens,22,markdown,,7.0,True,0,### 7c. TX Antenna Profile — review before the main loop
linear_without_lens,23,code,12.0,7.0,True,4,"print(""="" * 60)"
linear_without_lens,24,markdown,,7.0,True,0,### 7d. RX Antenna Profile — review all scenarios before the main loop
linear_without_lens,25,code,13.0,7.0,True,4,"print(""="" * 60)"
linear_without_lens,26,markdown,,8.0,True,0,"## 8. Main loop — 9 simulations (9 RX scenarios, each with 9 simultaneous TX)"
linear_without_lens,27,code,14.0,8.0,True,0,"def plot_received_power(cfg, Hf, freqs):"
linear_without_lens,28,code,15.0,8.0,True,73,"generate_room_xml(ROOM_X, ROOM_Y, ROOM_Z, ROOM_XML)"
linear_without_lens,29,markdown,,9.0,True,0,## 9. Per-RX-scenario evaluation
linear_without_lens,30,code,16.0,9.0,True,1,def tx_branch_correlation(Hf_i):
linear_without_lens,31,code,17.0,9.0,True,1,"fig, ax = plt.subplots(1, 2, figsize=(12, 4.5))"
